train RMSE	val RMSE	train R2	val R2
1.8627437603294512	1.8597451288228155	-0.0039000085669382845	-0.005445401569799335	
1.5551189612646612	1.548892155905231	0.30030067223134005	0.3025806492599603	
1.1733222597223996	1.1600179856982449	0.6016921705833578	0.6088160044570534	
2.2158897615685644	2.236731957207532	-0.42062850649944905	-0.4543854395998952	
1.6217612082107082	1.6217502987380163	0.23904663916851032	0.2354258585729897	
1.1609226928745058	1.1321161094102898	0.6100662517496981	0.6274079595863091	
1.2044743984889463	1.189030210571509	0.5802609550299092	0.5890041743567329	
1.3380610868909633	1.3487869617628818	0.48199243166730654	0.4711428859223066	
1.0834249834929626	1.098836347470643	0.6603888694938653	0.6489914738553701	
1.047830689622983	1.0576330435148273	0.682337132585171	0.6748216265016311	
1.2736302344287327	1.2854555110403434	0.5306779666467938	0.5196412195425678	
0.9671142685626416	0.950968722249155	0.7293925150407715	0.7371039271794391	
1.0255273221653136	1.033110699602885	0.6957162961206764	0.689726023743217	
0.990449850863366	0.985104412311895	0.7161759419539182	0.7178915069287238	
