,smiles,pH_range,logP
66,Nc1c(S(=O)(=O)O)ccc2ccccc12,0,-0.97
67,O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCCc3ccccc3)c2s1,1,3.13
68,COc1cc(/C=C/C(=O)Nc2ccc(N3CCCCC3)cc2)ccc1OC(F)F,2,5.36
69,CCOC(=O)C1CCN(C(=O)c2ccc(Cl)c(N=C3N[C@@H]4CS(=O)(=O)C[C@@H]4S3)c2)CC1,2,2.96
70,COC(=O)C1=C(C)N=C(C)C(C(=O)OC)[C@@H]1c1cccc(Cl)c1,2,4.22
71,Cc1cc(C)nc(OC(C(=O)O)C2(c3ccccc3)NCC(=O)N(C)c3ccccc32)n1,1,-2.0
72,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,1,2.07
73,CN(CCNCCc1ccc(O)c2[nH]c(=O)sc12)C(=O)CCOCCc1ccccc1,1,1.52
74,O=C(NC(Sc1ncccn1)C(=O)c1ccccc1)c1ccccc1,0,3.62
75,C[C@@H]1C=CCc2c1c(O)n(-c1cccc(C(=O)OCC(=O)c3ccc(Br)cc3)c1)c2O,0,5.29
76,O=c1[nH]c2ccccc2nc1CC(O)Nc1ccccc1NC(O)Cc1nc2ccccc2[nH]c1=O,1,3.42
77,O=C(CSc1nnc2c3ccccc3n(Cc3ccccc3)c2n1)OCN1C(=O)c2ccccc2C1=O,1,4.51
78,O=C(CSc1nnc(-c2ccccc2F)n1CCc1ccccc1)N1CCOCC1,1,3.79
79,N#CC1C(=N)Oc2c(c(=O)oc3ccccc23)[C@H]1c1cccs1,2,2.34
80,CC(=O)Oc1ccccc1C(=O)O,0,1.19
81,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,2,-0.09
82,Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1,2.9
83,N#CC1(C#N)[C@H](c2ccc(Br)s2)C(C(=O)c2ccccc2)N2c3ccccc3C=C[C@@H]21,1,5.05
84,CC(C)C(NC(=O)C(N)CC(N)=O)C(=O)O,1,-1.85
85,CN(C(=O)c1c(F)c(F)c(F)c(F)c1F)C(C)(C)C,0,3.45
86,CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,1,4.2
87,COc1cc(/C=C/C(=O)N[C@H]2CCCc3ccccc32)cc(OC)c1OC,0,4.27
88,[NH3+]C(Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(=O)[O-],1,0.54
89,COc1ccc2c(c1)[nH]c(=NCCCN1CCN(CCCN=c3[nH]c4cc(OC)ccc4n4c(Cl)ccc34)CC1)c1ccc(Cl)n12,1,5.74
90,Cc1[nH]c2ccccc2c1C1=CN2CCS(=O)(=O)N=C2S1,0,1.56
91,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,1,0.14
92,O=C(NCc1ccc(F)cc1)c1nn2c(c1Br)NC(c1cccs1)C[C@H]2C(F)(F)F,0,5.54
93,CC1=C(C(=O)OCCc2ccccc2)[C@@H](c2ccc3c(c2)OCO3)C2C(=O)C[C@@H](c3cccs3)CC2=N1,2,5.44
94,CCOC(=O)c1[nH]c(C)c(C(=O)OCC(=O)N(C)[C@@H]2CCS(=O)(=O)C2)c1C,0,3.35
95,CC(C)CC(NC(=O)C(N)CCC(N)=O)C(=O)O,1,-1.32
96,O=C(c1sc2cc(Cl)ccc2c1Cl)N1CCN(C(=S)NC[C@H]2CCCO2)CC1,0,4.83
97,CCCC1C(=O)C[C@H](C(C)C)C(C#N)(C#N)C1(C#N)C#N,0,3.3
98,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,1,0.47
99,C[C@H]1CN(C(=O)c2cc(-c3ccc4c(c3)OCO4)nc3ccccc23)C[C@H](C)O1,2,4.19
100,O=C(NCCNCCN=c1[nH][n+]([O-])c2ccccc2[n+]1[O-])c1cccc2cc3ccccc3nc12,1,1.36
101,CCCCc1cccc(C2(C(Oc3nc(C)cc(C)n3)C(=O)O)NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc32)c1,1,2.3
102,CC(C)N(Cc1nnc(-c2ccc(Cl)cc2)o1)C(=O)C1COc2ccccc2O1,0,4.09
103,CC(=O)Oc1cc(C(=O)Nc2ccc(Oc3ccccc3)cc2)cc(OC(C)=O)c1OC(C)=O,2,2.89
104,CCC(C)C(N)C(=O)NC(CC(N)=O)C(=O)O,1,-1.41
105,CCCCNC(=O)Oc1cc(C=C(C#N)C(=O)N(CC)CC)cc([N+](=O)[O-])c1O,0,1.98
106,COCON1C(=O)CN(C(C)=O)[C@H]1c1ccc(Cl)cc1Cl,0,1.98
107,CN1C(C(=O)N=c2cccc[nH]2)C(=O)c2ccccc2S1(=O)=O,0,3.06
108,COC(=O)n1c(-c2cscn2)nc2ccccc21,1,2.05
109,CCC(C)C(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(CC(C)C)C(=O)NCC(=O)O,1,-1.49
110,CCOc1ccc(N=CC(S(=O)(=O)c2ccc(C)cc2)S(=O)(=O)c2ccc(C)cc2)cc1,0,5.64
111,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,0,2.44
112,CC(=O)Nc1ccc([C@@H]2c3c(C)nn(-c4cccc(Cl)c4)c3OC(=N)C2C#N)cc1,1,4.93
113,CNC(=O)Oc1ccc(N(C)C)c(C)c1,2,1.9
114,N#Cc1c(SCC(=O)OCc2ccccc2)nsc1SCC(=O)OCc1ccccc1,0,5.6
115,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,1,2.89
116,OC[C@@H](O)Cn1c(SCCSc2nc3ccccc3n2C[C@H](O)CO)nc2ccccc21,2,3.29
117,CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,2,4.2
118,CCCCCOC(=O)CCCNC(=O)NC1CCCCC1,1,0.82
119,O=C(Nc1cccc(-c2cnc3ccccc3n2)c1)c1cccs1,1,4.34
120,N#CC(C#N)=NNc1cccc(O)c1,1,2.28
121,CC(C)CC([NH3+])C(=O)N1CCCC1C(=O)[O-],1,-1.76
122,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,1,2.34
123,CC(C)(C)c1cc(C(F)(F)F)nc(SCCNC(=O)C2CCCCC2)n1,1,5.77
124,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,1,4.36
125,O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)NCCOCCc3ccccc3)c2s1,1,2.38
126,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,1,4.37
127,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,0,0.16
128,CCC(C)C(=O)OC1CC(C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3CC(O)CC(=O)O3)[C@H]21,0,4.26
129,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,0,1.65
130,CC(=O)Oc1ccc(C(=O)Nc2cccc(C(=O)c3cccc(NC(=O)c4ccc(OC(C)=O)cc4)c3)c2)cc1,0,5.34
131,CC(C)CC(NC(=O)C(CC(C)C)NC(=O)C1CCC[NH2+]1)C(=O)[O-],1,-1.64
132,Cc1ccccc1OCC(=O)NCCNC(=O)COc1ccccc1C,1,4.25
133,CC(C)C(=O)N[C@H](Oc1ccc(C=O)cc1)C(Cl)(Cl)Cl,0,3.68
134,CCCCOC(=O)n1cc(F)c(=O)[nH]c1=O,0,0.89
135,C#Cc1cccc(NC(=O)c2cc(C(=O)Nc3cccc(C#C)c3)cc(N3C(=O)c4ccccc4C3=O)c2)c1,0,6.85
136,C[C@@]1(c2ccc(Cl)cc2)NC(=S)N2[C@@H]1NC(=S)N2c1ccc(Cl)cc1,0,4.94
137,CCCOC(=O)CC(CN)c1ccc(Cl)cc1,1,1.31
138,COc1cc(C2c3c(cc(C)[nH]c3=O)OC(=N)C2C#N)cc(OC)c1OC,2,2.55
139,COc1cnc(=NS(=O)(=O)c2ccc(N)cc2)[nH]c1,0,0.41
140,CC[C@H]1OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)CC(C)C(=O)C(C)[C@@H](O)[C@]1(C)O,2,1.68
141,CSCCC(N)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)O,1,-1.03
142,CCC(C)C(N)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(C(=O)O)C(C)C,2,-0.24
143,O=C(C=Cc1ccco1)Nc1ccccc1NC(=O)/C=C/c1ccco1,0,3.79
144,CCC(CC)(C(=O)NC(N)=O)C(=O)OCC(=O)OC,0,0.99
145,COC(=O)COc1cc2occ(-c3csc(C)n3)c(=O)c2cc1C,2,3.9
146,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,0,4.45
147,CCOC(=O)C1C(C)=NC(=O)N[C@H]1c1ccc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)o1,0,6.04
148,COc1cccc(-c2[nH]nc3c2[C@@H](c2cc(OC)c(OC)cc2Br)C(C#N)C(=N)O3)c1,2,4.52
149,COC(=O)N=c1[nH]c2ccc(C(=O)c3ccccc3)cc2[nH]1,0,3.14
150,CCc1cc2c3c(c1)[C@@]1(C(=O)N3C(C)(C)C=C2C)C2=C(CC(C)(C)CC2=O)OC(=N)C1C#N,2,5.39
151,O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,1,2.07
152,Cc1ccc(N2C(=O)N(c3cccc(Cl)c3)[C@@H]3CS(=O)(=O)C[C@@H]32)cc1,0,3.56
153,CCC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CCSC)NC(=O)C(N)C(C)C)C(=O)O,1,-0.63
154,CCCOC(=O)c1c(NC(=O)C2CCN(S(C)(=O)=O)CC2)sc(C(N)=O)c1C,1,3.9
155,CC(C)Cc1ccc(CC(=O)O)cc1,1,3.35
156,O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3ccc(O)cc3)c2s1,1,1.91
157,Cc1cccc(NC(=O)Cc2s/c(=N\c3c(C)cccc3C)n(C)c2O)c1,1,4.75
158,O=C(O)C1CCCN1,1,-2.5
159,Cn1c2ccccc2n2c3nc(C#N)c(C#N)nc3c(C#N)c12,0,3.61
160,CCCCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,1,0.44
161,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,1,1.77
162,CN=C(NCCSCc1[nH]cnc1C)NC#N,0,0.4
163,CC1(C)C=C2C(C(=O)C1)[C@@H](c1cccc(Cl)c1)C(C#N)C(=N)N2c1c(F)cccc1F,0,5.04
164,NC(=O)C1CCN(C(=O)c2ccc3c(=O)n(Cc4ccco4)c(SCC(=O)c4ccccc4)nc3c2)CC1,0,5.31
165,O=C(Cc1coc2cc3c(cc12)CCC3)OC1CCCCC1=O,0,4.43
166,Cc1ccc(C(=O)COc2cccc(-n3c(O)c4c(c3O)[C@@H]3CC[C@H]4C3)c2)cc1C,0,4.71
167,Nn1c(SCC(=O)Nc2ccccc2-c2ccccc2)nnc1-c1ccc(OC(F)F)cc1,0,4.85
168,N#CC(C#N)=NNc1ccc([N+](=O)[O-])cc1,0,2.37
169,Nc1ccc(-c2nc3ccccc3s2)cc1,1,2.0
170,Cc1c(NC(=O)CC(c2ccccc2)c2ccccc2)cccc1-n1cnnn1,0,3.2
171,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,1,-0.52
172,Cc1[nH]c(=NS(=O)(=O)c2ccc(N)cc2)oc1C,1,0.59
173,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,2,0.05
174,CC(NS(C)(=O)=O)c1ccccc1,0,1.8
175,COC(=O)N=c1[nH]c2ccc(C(=O)c3ccccc3)cc2[nH]1,1,3.14
176,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]c(C)n1,0,-0.33
177,O=C(c1cccnc1)N1CCN(S(=O)(=O)c2ccccc2)CC1,1,2.3
178,Cc1ccc(N2CC(=O)N(/N=C/c3cn(-c4ccccc4)nc3-c3ccc(Cl)cc3)CC2=O)cc1,1,6.14
179,CN(CCCN=c1[nH][n+]([O-])c2ccccc2[n+]1[O-])CCCNC(=O)c1cccc2nc3ccccc3nc12,1,0.59
180,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,1,2.72
181,COc1cccc(C(=O)N2CCC[C@H](c3ccccc3)C2)c1,0,4.04
182,CCCCc1c(O)n(-c2ccc(O)cc2)n(-c2ccccc2)c1=O,1,2.72
183,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,0,2.8
184,C[C@H]1CCc2[nH]c(=NC(=O)c3ccc(F)c(F)c3)sc2C1,1,4.79
185,C=CCn1c(SCC(=O)Nc2ccc(C)c(F)c2)nnc1-c1cccs1,1,4.48
186,CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,2,4.37
187,O=C(/C=C/c1ccc2c(c1)OCO2)Nc1ccc2c(c1)OCO2,0,3.72
188,COc1cccc(-n2c(SCc3cc(=O)n4ccsc4n3)nc3ccccc3c2=O)c1,0,3.56
189,CCN(CC)CCNC(=O)c1ccc(N)cc1,1,0.88
190,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,0,4.15
191,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C(O)C12,0,-0.9
192,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)O,1,0.24
193,O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)CCOCc3ccccc3)c2s1,1,1.15
194,O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3nccs3)c2s1,1,2.35
195,CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,2,3.87
196,C[C@]12CO[C@]3(C(=O)NCC(F)(F)F)C[C@H]1CC[C@]23C,0,3.11
197,CC(C)(C)c1cc(Cc2ccccc2)[nH]n1,2,4.35
198,COc1ccc(C2CC(=O)C3C(=Nc4ccccc4N(C(=O)C(F)(F)F)C3c3cc(OC)c(OC)c(OC)c3)C2)cc1,1,4.87
199,CC(C)C(NC(=O)C(N)Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(=O)O,1,-0.32
200,CC(C)C(NC(=O)C([NH3+])Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(=O)[O-],1,-1.37
201,CCn1ccc(CN(C)C(=O)c2ccccc2COc2ccc(F)cc2F)n1,0,4.43
202,COc1[nH]cnc(=NS(=O)(=O)c2ccc(N)cc2)c1OC,1,0.7
203,c1ccc2[nH]c(-c3cscn3)nc2c1,1,2.47
204,CC(=O)N=c1[nH]nc(S(N)(=O)=O)s1,1,-0.26
205,C=CCNC(=O)CSc1nc(C(F)F)cc(-c2cn(C)nc2C)c1C#N,1,3.74
206,CC[C@H]1CS/C(=N\c2cccc(C)c2)N1C(=O)CCN1C(=O)c2ccccc2C1=O,2,4.96
207,Cc1ccc2c(c1)n(Cc1cccc(S(=O)(=O)N(C)C)c1)c(=O)c(=O)n2Cc1ccccc1,0,3.37
208,CCc1c(O)[nH]c(=O)[nH]c1=O,0,-0.35
209,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,1,2.89
210,N#CC(C#N)=NNc1ccccc1[N+](=O)[O-],0,2.9
211,COc1nc(=NC(=O)NS(=O)(=O)c2ccccc2OCCCl)nc(C)[nH]1,2,-1.8
212,FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl,1,3.56
213,O=C(c1cccc(S(=O)(=O)N2CCOCC2)c1)N1CCN(c2cccc(Cl)c2)CC1,1,4.34
214,COc1cc(OC)c(C2C3C(=O)CCCC3=Nc3ncnn32)cc1OC,1,2.19
215,CNc1ccc(-c2nc3ccc(C)cc3s2)cc1,1,3.1
216,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,0,0.89
217,Cc1ccc(S(=O)(=O)N(C)c2ccc(OCC(=O)N3CCN(c4ncccn4)CC3)cc2)cc1,2,4.46
218,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,0,5.25
219,O=C(COC(=O)/C=C/c1ccc(F)cc1)Nc1cc(C(F)(F)F)ccc1N1CCOCC1,0,5.08
220,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0,3.7675
221,CCc1ccc2nc3c(cc2c1)c(=O)n(-c1ccccc1)c1c3c(=O)n(C)c(=O)n1C,2,4.31
222,CCc1ccc(C(=O)O)cc1,0,2.89
223,CCC(C)(C)C(=O)OC1CC(C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3CC(O)CC(=O)O3)[C@H]21,0,4.68
224,CCOc1ccc(NC(=O)CSc2nc3ccsc3c(=O)n2-c2ccccc2)cc1,0,4.33
225,O=C(CN1C(=O)c2ccccc2S1(=O)=O)Nc1ccc(S(=O)(=O)N2CCCCCC2)cc1,0,4.73
226,COC(=O)c1sccc1S(=O)(=O)NC(=O)N=c1nc(C)[nH]c(OC)n1,1,0.2
227,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,1,3.665
228,CC(NC(=O)C(Cc1ccccc1)NC(=O)C([NH3+])Cc1c[nH]c2ccccc12)C(=O)[O-],1,-1.0
229,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,1,0.89
230,FC(F)(F)c1ccc(-n2cc3ccccc3n2)cc1,0,4.42
231,Cc1cccc(Cl)c1Cn1ccc(=Nc2nnc(Cc3ccc(-n4cnnn4)cc3)s2)[nH]1,2,4.99
232,CCCCN(CCCC)Cc1cccc(C(=O)OCCOCn2cnc3c(=O)[nH]c(=N)[nH]c32)c1,1,1.5
233,CC(=O)c1ccc(NN=C(C#N)C#N)cc1,0,2.1
234,CCN=c1[nH]c(Oc2ccc(OCC)nn2)nc(=NC(C)C)[nH]1,2,3.14
235,CN(C)CNC(=O)c1ccccc1,2,0.85
236,O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3ccccc3)c2s1,1,2.51
237,O=C(Oc1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1)c1ccccc1,2,5.7
238,Cc1noc(C)c1N=C1CC(=O)C(=O)c2ccccc21,0,1.04
239,CC(=O)OCn1cc(F)c(=O)[nH]c1=O,0,-0.67
240,CCOCCOC(=O)C(C)Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1,2,4.33
241,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1,2.13
242,CC(C)(C)C1CCC(=Cc2c(O)c(O)c3ccccc3c2O)CC1,1,7.02
243,NC(=O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O,1,2.97
244,CC(=O)Oc1cccc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(c4cccc(OC(C)=O)c4)C5=O)cc3C2=O)c1,0,5.13
245,COc1ccc(NC(=O)c2sc3sc(C(=O)Nc4ccc(OC)c(OC)c4)c(N)c3c2N)cc1OC,2,4.88
246,CCN=c1nc(OC)[nH]c(=NCC)[nH]1,1,1.82
247,CCCCOC(=O)C1=C(C)N=C2CCCC(=O)C2[C@H]1c1ccccc1OC,1,4.21
248,CC(C)(C)c1cc(-c2nc(-c3ccc(C(F)(F)F)cn3)no2)n(Cc2ccccc2)n1,2,6.58
249,c1ccc2c(c1)[nH]c(=NCCCN1CCN(CCCN=c3[nH]c4ccccc4n4cccc34)CC1)c1cccn12,1,2.52
250,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,0,2.39
251,COc1ccc2[nH]c(=NCCCN3CCN(CCCN=c4[nH]c5ccc(OC)nc5n5cccc45)CC3)c3cccn3c2n1,1,4.73
252,CC1=CC(C)C(CO)(CO)C(C)C1,0,2.93
253,CC(Oc1ccccc1)C(=O)Nc1ccc(OC(F)(F)F)cc1,0,4.77
254,CSCCC(N)C(=O)NC(Cc1ccccc1)C(=O)O,1,0.42
255,O=C(Cn1cc(C(=O)C(F)(F)F)c2cc(Br)ccc21)N1CCCCCC1,0,4.62
256,COc1ccc(Oc2c(C(F)(F)F)oc3cc(OC(=O)N4CCOCC4)ccc3c2=O)cc1,0,4.63
257,COc1nc(=NC(=O)NS(=O)(=O)c2ccccc2OCCCl)nc(C)[nH]1,0,1.1
