smiles,logP,pH,Temperature
CC(C)NCC(O)COc1cccc2[nH]ccc12,1.75,7.0,37.0
CC(C)NCC(O)COc1cccc2[nH]ccc12,1.75,9.0,37.0
CC(C)NCC(O)COc1cccc2[nH]ccc12,1.75,8.0,37.0
Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.9,3.35,37.0
Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.9,6.49,37.0
Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.9,6.38,37.0
Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.9,6.59,37.0
Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.9,5.97,37.0
Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.9,3.91,37.0
Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.9,5.41,37.0
Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.9,5.02,37.0
Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.9,6.69,37.0
Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.9,4.0,37.0
Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.9,3.3,37.0
Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.9,4.61,37.0
Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.9,5.51,37.0
Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.9,6.88,37.0
Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,1.45,7.2,37.0
CCCCCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,3.71,4.0,37.0
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.22,8.52,25.0
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.16,8.97,25.0
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.22,9.33,25.0
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.22,8.62,25.0
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.22,10.83,25.0
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.22,11.44,25.0
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.22,9.6,25.0
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.22,10.09,25.0
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.22,10.48,25.0
CCOC(=O)C(C)(C(=O)NC(=O)NC)C1=CCCCC1,2.25,3.5,23.0
CCCCCCCCCCCCCC(=O)O,6.11,3.0,25.0
N#CC(C#N)=NNc1ccc(N=Nc2ccccc2)cc1,4.25,7.2,25.0
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,1.98,7.0,37.0
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,1.98,9.46,37.0
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,1.98,8.64,37.0
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.24,5.0,25.0
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.24,9.0,25.0
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,1.98,9.3,37.0
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,1.98,9.07,37.0
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.24,10.0,25.0
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.24,10.83,25.0
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.24,2.5,25.0
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.24,7.89,25.0
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.24,6.32,25.0
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.24,3.82,25.0
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.24,4.6,25.0
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.24,5.88,25.0
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.24,2.94,25.0
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.24,1.19,25.0
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.24,7.28,25.0
O=C1NC(=O)C(c2ccccc2)(c2ccc(O)cc2)N1,1.72,5.89,37.0
O=C1NC(=O)C(c2ccccc2)(c2ccc(O)cc2)N1,1.72,7.0,37.0
Cc1noc(C)c1N=C1CC(=O)C(=O)c2ccccc21,1.04,3.45,25.0
Cc1noc(C)c1N=C1CC(=O)C(=O)c2ccccc21,1.04,7.64,25.0
Cc1noc(C)c1N=C1CC(=O)C(=O)c2ccccc21,1.04,9.45,25.0
Cc1noc(C)c1N=C1CC(=O)C(=O)c2ccccc21,1.04,10.38,25.0
Cc1noc(C)c1N=C1CC(=O)C(=O)c2ccccc21,1.04,6.65,25.0
Cc1noc(C)c1N=C1CC(=O)C(=O)c2ccccc21,1.04,9.89,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,6.47,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.34,7.0,32.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,6.55,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,3.0,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,3.5,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,5.58,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,3.62,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,5.94,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.34,4.0,32.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,3.67,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,4.03,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,5.9,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.34,5.5,32.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,5.4,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,2.92,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,4.84,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,5.03,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,4.54,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,7.4,22.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,1.15,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,2.0,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,1.2,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,4.16,2.0,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,5.0,22.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,2.17,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,4.0,22.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,2.0,22.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,6.0,22.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,2.5,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,2.46,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,3.0,22.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,2.52,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,5.41,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,2.14,25.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,1.2,22.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.99,2.91,25.0
CN1C(C(=O)N=c2cccc[nH]2)C(=O)c2ccccc2S1(=O)=O,0.255,6.5,25.0
CN1C(C(=O)N=c2cccc[nH]2)C(=O)c2ccccc2S1(=O)=O,3.06,5.0,37.0
Nc1ccc(S(=O)(=O)N=c2cc[nH]n2-c2ccccc2)cc1,1.52,1.17,37.0
CCOC(=O)c1ccccc1S(=O)(=O)NC(=O)N=c1nc(Cl)cc(OC)[nH]1,0.36,6.5,25.0
CCOC(=O)c1ccccc1S(=O)(=O)NC(=O)N=c1nc(Cl)cc(OC)[nH]1,0.36,7.0,25.0
CCOC(=O)c1ccccc1S(=O)(=O)NC(=O)N=c1nc(Cl)cc(OC)[nH]1,0.36,5.0,25.0
CC(C)C(O)(c1ccc(OC(F)(F)F)cc1)c1cncnc1,3.34,9.0,25.0
Cc1cccc(Nc2ccccc2C(=O)O)c1C,5.12,7.4,22.0
Cc1cccc(Nc2ccccc2C(=O)O)c1C,5.12,1.2,22.0
Cc1cccc(Nc2ccccc2C(=O)O)c1C,5.12,5.0,22.0
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,2.79,3.0,22.0
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,2.79,6.0,22.0
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,2.79,5.0,22.0
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,2.79,4.0,22.0
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,2.79,2.0,22.0
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,2.79,1.2,22.0
Cc1ccc(S(=O)(=O)N(C)C(=O)c2ccccc2)cc1,2.95,7.4,22.0
CC(C)COC(=O)n1c(-c2cscn2)nc2ccccc21,3.46,6.0,21.0
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.44,1.3,37.0
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.44,7.2,37.0
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.44,1.5,37.0
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.44,6.5,37.0
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.44,6.79,37.0
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.44,7.03,37.0
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,2.72,7.4,25.0
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,2.8,5.87,37.0
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,2.8,6.35,37.0
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,2.8,5.51,37.0
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,2.8,3.79,37.0
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,2.8,4.69,37.0
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,2.8,1.1,37.0
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,2.8,3.13,37.0
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,2.8,7.0,37.0
CC(C)N(Cc1ccccc1)C(=O)C(C)(C)C,3.0,7.0,20.0
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,2.86,7.4,25.0
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,2.86,6.5,25.0
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,2.92,5.5,37.0
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,2.92,7.5,37.0
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,2.19,5.5,37.0
COC(=O)N=c1[nH]c2ccc(C(=O)c3ccccc3)cc2[nH]1,3.14,1.2,37.0
COC(=O)N=c1[nH]c2ccc(C(=O)c3ccccc3)cc2[nH]1,3.14,7.4,37.0
CCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,1.57,9.16,25.0
CCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,1.57,8.81,25.0
CCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,1.57,7.62,25.0
CCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,1.57,7.01,25.0
CCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,1.57,6.44,25.0
CCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,1.57,3.72,25.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.16,1.2,22.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.16,2.0,22.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.16,5.95,25.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.16,6.0,22.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.16,5.0,22.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.16,3.0,22.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,2.9,6.5,25.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,2.9,4.0,25.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,2.9,2.0,25.0
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,3.14,5.0,22.0
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,3.14,4.0,22.0
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,3.14,6.0,22.0
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,3.14,7.5,22.0
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,3.14,7.0,22.0
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,3.14,3.0,22.0
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,3.14,2.0,22.0
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,3.14,1.2,22.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.16,6.92,25.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.12,7.4,22.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.12,5.0,22.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.16,5.48,25.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.16,4.52,25.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.16,5.74,25.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.16,2.5,25.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.16,2.67,25.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.16,3.02,25.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.16,3.88,25.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.16,3.48,25.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.16,1.22,25.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.12,2.0,21.0
COc1ccc2cc(C(C)C(=O)OCC(N)=O)ccc2c1,2.06,7.4,21.0
NC(Cc1ccc(O)c(O)c1)C(=O)OCc1ccccc1,1.06,7.4,20.0
Cc1cn(C2CC(N=[N+]=[N-])C(COC(=O)c3ccncc3)O2)c(=O)[nH]c1=O,0.83,4.2,25.0
Cc1cn(C2CC(N=[N+]=[N-])C(COC(=O)c3ccncc3)O2)c(=O)[nH]c1=O,0.83,2.06,25.0
Cc1cn(C2CC(N=[N+]=[N-])C(COC(=O)c3ccncc3)O2)c(=O)[nH]c1=O,0.83,5.9,25.0
Cc1cn(C2CC(N=[N+]=[N-])C(COC(=O)c3ccncc3)O2)c(=O)[nH]c1=O,0.83,6.6,25.0
Cc1cn(C2CC(N=[N+]=[N-])C(COC(=O)c3ccncc3)O2)c(=O)[nH]c1=O,0.83,1.68,25.0
Cc1cn(C2CC(N=[N+]=[N-])C(COC(=O)c3ccncc3)O2)c(=O)[nH]c1=O,0.83,6.7,25.0
Cc1cn(C2CC(N=[N+]=[N-])C(COC(=O)c3ccncc3)O2)c(=O)[nH]c1=O,0.83,7.1,25.0
Cc1cn(C2CC(N=[N+]=[N-])C(COC(=O)c3ccncc3)O2)c(=O)[nH]c1=O,0.83,8.0,25.0
CCOC(=O)C(C)c1ccc2cc(OC)ccc2c1,4.51,7.4,21.0
CC(C)(C)C(=O)OCn1cc(F)c(=O)n(COC(=O)C(C)(C)C)c1=O,2.54,4.0,22.0
OC(c1ccc(F)cc1)(c1cncnc1)c1ccccc1Cl,2.2,7.0,25.0
O=C(O)Cc1sc(-c2ccccc2)nc1-c1ccc(Cl)cc1,5.19,2.0,25.0
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,3.68,9.05,25.0
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,3.68,7.6,25.0
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,3.68,9.93,25.0
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,3.68,10.9,25.0
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,3.68,7.7,25.0
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,3.68,8.1,25.0
CS(=O)(=O)c1ccc(-c2coc(O)c2-c2ccccc2)cc1,1.71,1.2,22.0
CS(=O)(=O)c1ccc(-c2coc(O)c2-c2ccccc2)cc1,1.71,7.4,25.0
NC(=O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O,2.97,6.9,37.0
NC(=O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O,2.97,9.9,37.0
NC(=O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O,2.97,8.0,37.0
NC(=O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O,2.97,6.0,37.0
NC(=O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O,2.97,4.1,37.0
NC(=O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O,2.97,3.5,37.0
NC(=O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O,2.97,2.8,37.0
NC(=O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O,2.97,2.3,37.0
NC(=O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O,2.97,4.9,37.0
NC(=O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O,2.97,1.8,37.0
CCCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,1.8,3.45,25.0
CCCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,1.8,8.85,25.0
CCCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,1.8,6.47,25.0
CCCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,1.8,7.52,25.0
CCCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,1.8,9.62,25.0
CCCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,1.8,7.96,25.0
CCC1(c2ccccc2)C(=O)NC(=O)N1S(=O)(=O)c1ccccc1,-2.44,7.0,37.0
COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,2.18,6.4,37.0
CCCc1c2c(c(O)c3c(=O)cc(C(=O)O)oc13)CCCC2,4.4,4.17,20.0
CCCc1c2c(c(O)c3c(=O)cc(C(=O)O)oc13)CCCC2,4.4,5.0,20.0
CCCc1c2c(c(O)c3c(=O)cc(C(=O)O)oc13)CCCC2,4.4,2.99,20.0
CCCc1c2c(c(O)c3c(=O)cc(C(=O)O)oc13)CCCC2,4.4,4.95,20.0
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.35,10.62,20.0
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.35,9.71,20.0
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.35,11.13,20.0
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.35,8.65,20.0
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.35,8.91,20.0
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.35,8.43,20.0
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.35,8.54,20.0
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.35,7.54,20.0
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.35,7.89,20.0
COC(=O)c1cccc(C)c1S(=O)(=O)NC(=O)N=c1nc(N(C)C)nc(OCC(F)(F)F)[nH]1,0.96,7.0,25.0
COC(=O)c1cccc(C)c1S(=O)(=O)NC(=O)N=c1nc(N(C)C)nc(OCC(F)(F)F)[nH]1,0.96,9.0,25.0
COC(=O)c1cccc(C)c1S(=O)(=O)NC(=O)N=c1nc(N(C)C)nc(OCC(F)(F)F)[nH]1,0.96,5.0,25.0
COC(=O)c1cccc(C)c1S(=O)(=O)NC(=O)N=c1nc(N(C)C)nc(OCC(F)(F)F)[nH]1,0.96,3.0,25.0
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,0.76,7.4,25.0
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,0.76,8.0,35.0
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.55,8.41,20.0
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.55,8.28,20.0
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.55,11.06,20.0
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.55,9.25,20.0
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.55,8.45,20.0
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.55,8.68,20.0
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.55,10.48,20.0
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.55,8.29,20.0
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.55,10.02,20.0
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.55,8.78,20.0
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.55,11.55,20.0
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.55,8.26,20.0
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.55,10.42,20.0
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,4.81,7.4,37.0
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.55,8.07,20.0
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.55,9.04,20.0
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.55,7.71,20.0
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.55,8.05,20.0
CN(C)CCOC(c1ccccc1)c1ccccc1,3.3,7.4,37.0
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,3.27,7.4,37.0
CCCC(=NOCC)C1C(=O)CC(C(C)CSCC)CC1=O,1.65,7.0,20.0
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,0.47,7.4,25.0
COc1ccc2cc(C(C)C(=O)OCC(=O)N(C)C)ccc2c1,2.05,7.4,21.0
CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,5.11,6.4,37.0
CCN(CC)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12,4.63,10.5,20.0
CCN(CC)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12,4.63,9.76,20.0
CCN(CC)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12,4.63,9.35,20.0
CCN(CC)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12,4.63,11.78,20.0
CCN(CC)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12,4.63,9.42,20.0
CCN(CC)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12,4.63,10.57,20.0
CCN(CC)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12,4.63,9.8,20.0
CCN(CC)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12,4.63,12.46,20.0
CCN(CC)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12,4.63,10.95,20.0
O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,2.07,7.5,37.0
O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,2.07,6.5,25.0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.27,6.6,25.0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.27,7.4,25.0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.27,1.2,22.0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.27,5.0,22.0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.27,6.5,22.0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.27,7.4,22.0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.27,6.0,22.0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.27,7.0,22.0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.27,3.0,37.0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.27,5.0,37.0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.27,6.5,37.0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.27,6.0,37.0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.27,7.0,37.0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.27,6.5,25.0
CCOCCOC(=O)C(C)Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1,4.33,9.0,9.0
CCCCOC(=O)C(C)Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1,4.5,6.5,20.0
CCCCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,3.16,5.0,22.0
CCCCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,3.16,6.0,22.0
CCCCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,3.16,4.0,22.0
CCCCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,3.16,3.0,37.0
CCCCc1c(O)n(-c2ccc(O)cc2)n(-c2ccccc2)c1=O,2.72,5.0,22.0
CCCCCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,3.42,9.89,25.0
CCCCCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,3.42,6.81,25.0
CCCCc1c(O)n(-c2ccc(O)cc2)n(-c2ccccc2)c1=O,2.72,6.0,22.0
CCCCCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,3.42,8.23,25.0
