,smiles,pH,logP
48,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,3.6,0.5
49,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,3.8,0.5
50,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,4.0,0.5
51,CC(=O)NS(=O)(=O)c1ccc(N)cc1,4.5,-0.96
52,CC(=O)NS(=O)(=O)c1ccc(N)cc1,4.8,-0.96
53,CC(=O)NS(=O)(=O)c1ccc(N)cc1,4.9,-0.96
54,CC(=O)NS(=O)(=O)c1ccc(N)cc1,5.3,-0.96
55,CC(=O)NS(=O)(=O)c1ccc(N)cc1,5.6,-0.96
56,CC(=O)NS(=O)(=O)c1ccc(N)cc1,5.9,-0.96
57,CC(=O)NS(=O)(=O)c1ccc(N)cc1,6.6,-0.96
58,CC(=O)NS(=O)(=O)c1ccc(N)cc1,7.0,-0.96
59,CC(=O)N[C@H]1[C@@H](Oc2cccc3ccccc23)O[C@@H]2COC(C)(C)O[C@H]2[C@@H]1O,6.5,3.8
60,CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,4.0515,2.02
61,CC(=O)Nc1ccc(C(=O)N(Cc2ccco2)C2(C(=O)Nc3c(C)cccc3C)CCCCC2)cc1,5.0,4.62
62,CC(=O)Nc1ccc(NN=C(C#N)C#N)cc1,3.0,1.83
63,CC(=O)Nc1ccc(NN=C(C#N)C#N)cc1,5.0,1.83
64,CC(=O)Nc1ccc(NN=C(C#N)C#N)cc1,7.2,1.83
65,CC(=O)Nc1ccc(S(N)(=O)=O)cc1,4.9,-0.04
66,CC(=O)Nc1ccc([C@@H]2c3c(C)nn(-c4cccc(Cl)c4)c3OC(=N)C2C#N)cc1,7.0,4.93
67,CC(=O)Nc1ccc([C@H]2c3c(-c4cc(C)sc4C)n[nH]c3OC(=N)C2C#N)cc1,9.0,4.26
68,CC(=O)Nc1cccc(C(=O)OCC(=O)c2c(N)n(C)c(=O)n(C)c2=O)c1,5.0,3.57
69,CC(=O)OCn1c(=O)[nH]cc(F)c1=O,4.0,-0.42
70,CC(=O)OCn1cc(F)c(=O)[nH]c1=O,4.0,-0.67
71,CC(=O)Oc1cc(C(=O)Nc2ccc(Oc3ccccc3)cc2)cc(OC(C)=O)c1OC(C)=O,10.5,2.89
72,CC(=O)Oc1ccc(C(=O)Nc2cccc(C(=O)c3cccc(NC(=O)c4ccc(OC(C)=O)cc4)c3)c2)cc1,5.0,5.34
73,CC(=O)Oc1cccc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(c4cccc(OC(C)=O)c4)C5=O)cc3C2=O)c1,5.0,5.13
74,CC(=O)Oc1ccccc1C(=O)O,1.0,1.19
75,CC(=O)Oc1ccccc1C(=O)O,1.2,1.19
76,CC(=O)Oc1ccccc1C(=O)O,2.0,1.19
77,CC(=O)Oc1ccccc1C(=O)O,3.0,1.19
78,CC(=O)Oc1ccccc1C(=O)O,4.0,1.19
79,CC(=O)Oc1ccccc1C(=O)O,4.33,1.19
80,CC(=O)Oc1ccccc1C(=O)O,5.0,1.19
81,CC(=O)Oc1ccccc1C(=O)O,6.5,1.19
82,CC(=O)Oc1ccccc1C(=O)O,7.4,1.19
83,CC(=O)c1c(C)[nH]c(C(=O)COC(=O)c2ccccc2NC(=O)c2ccco2)c1C,5.0,4.73
84,CC(=O)c1cc2ccccc2o1,5.0,2.15
85,CC(=O)c1ccc(-c2ccc([C@H]3NC(=S)N=C(C)C3C(=O)OC(C)(C)C)o2)cc1,5.0,4.53
86,CC(=O)c1ccc(C(C)(C)C)cc1NC(=O)c1ccccc1,5.0,5.13
87,CC(=O)c1ccc(N)cc1,10.66,0.83
88,CC(=O)c1ccc(N2CCN(C(=O)/C=C/c3ccc(C)o3)CC2)cc1,10.0,4.3
89,CC(=O)c1ccc(NC(=O)CNC(=O)CNC(=O)C2O[C@@H]3OC(C)(C)O[C@@H]3[C@H]3OC(C)(C)O[C@@H]23)cc1,5.0,3.39
90,CC(=O)c1ccc(NN=C(C#N)C#N)cc1,3.0,2.1
91,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1.3,2.44
92,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1.5,2.44
93,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,6.5,2.44
94,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,6.79,2.44
95,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,7.03,2.44
96,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,7.2,2.44
97,CC(=O)c1cccc(-n2c(O)c3c(c2O)[C@@H]2C=C[C@H]3C2=C(c2ccc(C)cc2)c2ccc(C)cc2)c1,5.0,6.25
98,CC(=O)c1sc(SCCOc2ccccc2)nc1C,2.0,3.86
99,CC(=O)n1cc(O)n(CC(=O)N(Cc2ccccc2)c2nc(-c3ccccc3)cs2)c1=S,6.5,4.43
100,CC(C(=O)NC1CCCC1)N(c1ccc(Cl)cc1)S(C)(=O)=O,5.0,3.48
101,CC(C(=O)Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1)n1nc(C(F)(F)F)c(Cl)c1C1CC1,5.0,6.63
102,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,1.15,3.99
103,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,1.2,3.99
104,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,2.0,4.075
105,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,2.14,3.99
106,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,2.17,3.99
107,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,2.46,3.99
108,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,2.5,3.99
109,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,2.52,3.99
110,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,2.91,3.99
111,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,2.92,3.99
112,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.0,3.99
113,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.5,3.99
114,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.62,3.99
115,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.67,3.99
116,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,4.0,3.665
117,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,4.03,3.99
118,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,4.54,3.99
119,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,4.84,3.99
120,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,5.0,3.99
121,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,5.03,3.99
122,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,5.4,3.99
123,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,5.41,3.99
124,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,5.5,3.34
125,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,5.58,3.99
126,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,5.9,3.99
127,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,5.94,3.99
128,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,6.0,3.99
129,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,6.47,3.99
130,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,6.55,3.99
131,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,7.0,3.34
132,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,7.4,3.99
133,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,2.0,3.4
134,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,4.0,3.4
135,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,6.5,3.4
136,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,1.2,3.16
137,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,1.22,3.16
138,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,2.0,3.06
139,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,2.5,3.16
140,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,2.67,3.16
141,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.0,3.16
142,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.02,3.16
143,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.48,3.16
144,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.88,3.16
145,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,4.0,2.9
146,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,4.52,3.16
147,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,5.0,3.14
148,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,5.48,3.16
149,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,5.74,3.16
150,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,5.95,3.16
151,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,6.0,3.16
152,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,6.5,2.9
153,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,6.92,3.16
154,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,7.0,3.16
155,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,7.4,3.12
156,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,7.5,3.16
157,CC(C)(C)C(=O)C1[C@H](c2ccsc2)C(C#N)(C#N)[C@H]2C=Cc3ccccc3N12,10.0,3.37
158,CC(C)(C)C(=O)Nc1ccc(NC(=O)C(C)(C)C)cc1,5.0,2.79
159,CC(C)(C)C(=O)OCn1cc(F)c(=O)n(COC(=O)C(C)(C)C)c1=O,4.0,2.54
160,CC(C)(C)C1(C)OC(C(N)=O)C(C(N)=O)O1,6.5,1.6
161,CC(C)(C)C1CCC(=Cc2c(O)c(O)c3ccccc3c2O)CC1,7.4,7.02
162,CC(C)(C)NC(=S)Nc1ccc(F)cc1,5.0,2.71
163,CC(C)(C)OC(=O)N1CCCC1C(=O)Oc1ccc2c(=O)c(-c3ccc(F)cc3)coc2c1,5.0,5.77
164,CC(C)(C)S(=O)(=O)C(C#N)C=Nc1ccc(OC(F)(F)F)cc1,6.5,4.28
165,CC(C)(C)c1cc(-c2nc(-c3ccc(C(F)(F)F)cn3)no2)n(Cc2ccccc2)n1,10.5,6.58
166,CC(C)(C)c1cc(C(F)(F)F)nc(SCCNC(=O)C2CCCCC2)n1,6.5,5.77
167,CC(C)(C)c1cc(Cc2ccccc2)[nH]n1,10.5,4.35
168,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,5.0,5.72
169,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,6.8,5.72
170,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,7.4,5.72
171,CC(C)(CNCCc1ccc(O)c2[nH]c(=O)sc12)CSCCOCCc1ccccc1N,7.4,3.44
172,CC(C)=CC(=O)OCC(=O)Nc1ccc(S(=O)(=O)N(C)C)cc1,2.0,2.26
173,CC(C)=CCCC1=NN(C=O)[C@@](C)(CCC=C(C)C)C1,10.5,5.02
174,CC(C)C(=O)N[C@H](Oc1ccc(C=O)cc1)C(Cl)(Cl)Cl,5.0,3.68
175,CC(C)C(C(=O)N=c1[nH]c(-c2ccc(S(=O)(=O)N3CCOCC3)cc2)cs1)N1C(=O)c2ccccc2C1=O,7.3,5.32
176,CC(C)C(N)C(=O)N1CCCC1C(=O)NCC(=O)NC(C(=O)O)C(C)C,7.0,-2.83
177,CC(C)C(N)C(=O)NC(CCC(N)=O)C(=O)O,7.0,-1.82
