,smiles,pH,logP
258,CC(C)COc1ccc(C(=O)N2N=C(C(F)F)C[C@@]2(O)C(F)F)cc1,5.0,5.16
259,CC(C)Cc1ccc(C(C)C(=O)O)cc1,1.2,4.13
260,CC(C)Cc1ccc(C(C)C(=O)O)cc1,2.0,4.13
261,CC(C)Cc1ccc(C(C)C(=O)O)cc1,3.0,4.13
262,CC(C)Cc1ccc(C(C)C(=O)O)cc1,4.0,4.13
263,CC(C)Cc1ccc(C(C)C(=O)O)cc1,5.0,4.13
264,CC(C)Cc1ccc(C(C)C(=O)O)cc1,5.14,4.13
265,CC(C)Cc1ccc(C(C)C(=O)O)cc1,5.5,4.13
266,CC(C)Cc1ccc(C(C)C(=O)O)cc1,6.0,4.13
267,CC(C)Cc1ccc(C(C)C(=O)O)cc1,6.5,4.13
268,CC(C)Cc1ccc(C(C)C(=O)O)cc1,6.82,4.13
269,CC(C)Cc1ccc(C(C)C(=O)O)cc1,7.0,4.13
270,CC(C)Cc1ccc(C(C)C(=O)O)cc1,7.4,4.13
271,CC(C)Cc1ccc(C(C)C(=O)O)cc1,7.5,4.13
272,CC(C)Cc1ccc(CC(=O)O)cc1,1.3,3.35
273,CC(C)Cc1ccc(CC(=O)O)cc1,7.2,3.35
274,CC(C)Cn1c(O)c(C=C2CC=CCC2)sc1=S,5.0,6.66
275,CC(C)N(C(=O)CSc1n[nH]c(=NCc2ccccc2)s1)C(C)C,7.3,4.09
276,CC(C)N(Cc1ccccc1)C(=O)C(C)(C)C,7.0,3.0
277,CC(C)N(Cc1nc(-c2ccccc2)no1)C(=O)c1ccccc1CCc1ccccc1,5.0,5.98
278,CC(C)N(Cc1nnc(-c2ccc(Cl)cc2)o1)C(=O)C1COc2ccccc2O1,2.0,4.09
279,CC(C)N=c1nc(Cl)[nH]c(=NC(C)C)[nH]1,10.0,2.93
280,CC(C)NC(=O)COC(=O)c1ccc(S(=O)(=O)N2CCCCCC2)cc1,5.0,3.78
281,CC(C)NC(=S)N1CCN(S(=O)(=O)c2cccc(C(F)(F)F)c2)CC1,5.0,3.9
282,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,8.52,0.22
283,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,8.62,0.22
284,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,8.97,0.16
285,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,9.33,0.22
286,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,9.6,0.22
287,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,10.09,0.22
288,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,10.48,0.22
289,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,10.83,0.22
290,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,11.44,0.22
291,CC(C)NCC(O)COc1cccc2[nH]ccc12,7.0,1.75
292,CC(C)NCC(O)COc1cccc2[nH]ccc12,8.0,1.75
293,CC(C)NCC(O)COc1cccc2[nH]ccc12,9.0,1.75
294,CC(C)NCC(O)COc1cccc2[nH]ccc12,10.0,1.75
295,CC(C)OC(=O)C(Cc1ccc(OC(=O)N(C)C)cc1)NC(=O)C1N(S(=O)(=O)c2cnn(C)c2)CSC1(C)C,5.5,2.46
296,CC(C)OC(=O)C1=C(CSc2nc3c(cc2C#N)CCCCC3)OC(=N)C(C#N)[C@@H]1c1ccncc1,10.0,5.43
297,CC(C)OC(=O)CC(CN)c1ccc(Cl)cc1,7.3,1.27
298,CC(C)OC(=O)c1ccc2[nH]c3c(c2c1)CCCC3,5.0,4.97
299,CC(C)OCCCNC(=O)C(=O)NCc1ccc(C(C)C)cc1,5.0,4.57
300,CC(C)[C@H]1O[C@H]2CCCC[C@H]2C2=CCCC[C@H]21,5.0,5.87
301,CC(C)c1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,3.85,0.54
302,CC(C)c1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,4.02,0.54
303,CC(C)c1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,4.61,0.54
304,CC(C)c1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,5.23,0.54
305,CC(C)c1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,5.45,0.54
306,CC(C)c1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,5.54,0.54
307,CC(C)c1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,5.95,0.54
308,CC(C)c1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,5.98,0.54
309,CC(C)c1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,6.38,0.54
310,CC(C)c1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,6.46,0.54
311,CC(C)c1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,6.5,0.54
312,CC(C)c1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,6.55,0.54
313,CC(C)c1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,6.63,0.54
314,CC(C)c1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,6.79,0.54
315,CC(C)c1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,6.87,0.54
316,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,2.4,2.39
317,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,3.0,2.39
318,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,2.4,4.15
319,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,3.0,4.15
320,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,5.82,1.33
321,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,6.32,1.33
322,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,6.92,1.33
323,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,7.9,1.33
324,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,8.55,1.33
325,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,9.13,1.33
326,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,9.73,1.33
327,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,9.89,1.33
328,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,10.35,1.33
329,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,11.16,1.33
330,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,11.72,1.33
331,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,7.4,4.81
332,CC(COCCCS(=O)(=O)CCNCCc1ccc(O)c2[nH]c(=O)sc12)c1ccccc1,7.4,2.32
333,CC(Cc1ccccc1)OCCCS(=O)(=O)CCNCCc1ccc(O)c2[nH]c(=O)sc12,7.4,1.81
334,CC(N)C(=O)NC(C)C(=O)O,7.0,-2.0
335,CC(N=C1NS(=O)(=O)c2ccccc21)C(=O)OCC(=O)/C=C1/N(C)c2ccccc2C1(C)C,2.0,4.21
336,CC(NC(=O)C(C)NC(=O)C(N)C(C)C)C(=O)NC(Cc1ccccc1)C(=O)O,7.0,-1.91
337,CC(NC(=O)C(Cc1ccccc1)NC(=O)C([NH3+])Cc1c[nH]c2ccccc12)C(=O)[O-],7.0,-1.0
338,CC(NC(=O)C(N)C(C)C)C(=O)O,7.0,-1.14
339,CC(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,7.0,-1.98
340,CC(NC(=O)C(NC(=O)C([NH3+])Cc1ccccc1)C(C)C)C(=O)[O-],7.0,-2.19
341,CC(NS(C)(=O)=O)c1ccccc1,5.0,1.8
342,CC(OC(=O)c1cccc(C(F)(F)F)c1)C(N)=O,5.0,2.75
343,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,7.0,1.77
344,CC(Oc1ccc(F)cc1F)C(=O)c1cn(-c2ccc(OC(F)(F)F)cc2)nn1,5.0,5.83
345,CC(Oc1ccccc1)C(=O)Nc1ccc(OC(F)(F)F)cc1,5.0,4.77
346,CC(Sc1nc2ccccc2c(=O)n1-c1ccc(F)cc1)C(=O)NCc1ccc2c(c1)OCO2,5.0,4.63
347,CC(Sc1nnc(-c2ccc(F)cc2)n1-c1ccccc1)C(N)=O,7.3,3.38
348,CC(Sc1nnnn1-c1ccc(Cl)cc1)C(=O)NCC(=O)Nc1ccc(F)c(F)c1F,5.0,4.52
349,CC/C=C(\C)C1(CC)C(=O)NC(=O)NC1=O,5.0,1.57
350,CC/C=C(\C)C1(CC)C(=O)NC(=O)NC1=O,7.9,1.57
351,CC/N=C1\S/C(=C\c2cn(CC(=O)Nc3cccc(C)c3)c3ccccc23)C(=O)N1CC,10.0,5.8
352,CC1(C)C(C(=O)N2CCOCC2)CC[C@]1(C)C(=O)N1CCOCC1,5.0,2.46
353,CC1(C)C=C2C(C(=O)C1)[C@@H](c1cccc(Cl)c1)C(C#N)C(=N)N2c1c(F)cccc1F,5.0,5.04
354,CC1(C)C=C2OC(=N)C(C#N)C3(CCC4(CC3)OCCO4)C2C(=O)C1,10.0,3.24
355,CC1(C)C=C2OC(=N)C(C#N)[C@@H](c3c4ccccc4cc4ccccc34)C2C(=O)C1,10.5,4.99
356,CC1(C)C=C2OC(=N)C(C#N)[C@@H](c3ccc(C(F)(F)F)cc3)C2C(=O)C1,5.0,4.55
357,CC1(C)C[C@](C)(O)[P@](C)(=O)O1,5.0,0.71
358,CC1(C)OC[C@H](COc2c(F)c(N3CCOCC3)nc(F)c2Cl)O1,5.0,4.07
359,CC1(C)[C@@]2(C)CC[C@]1(C(=O)Nc1ccccc1C(F)(F)F)c1nc3ccccc3nc12,7.3,6.01
360,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,7.0,1.16
361,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,6.5,1.94
362,CC12CCCC(C(N)=O)(CCC1)C2,5.0,2.73
363,CC1=C(C(=O)N2CCCCC2)C(c2cccs2)C2C(=O)CCCC2=N1,6.0,3.37
364,CC1=C(C(=O)OCCc2ccccc2)[C@@H](c2ccc(Cl)cc2)C2C(=O)CCCC2=N1,7.3,5.48
365,CC1=C(C(=O)OCCc2ccccc2)[C@@H](c2ccc3c(c2)OCO3)C2C(=O)C[C@@H](c3cccs3)CC2=N1,10.0,5.44
366,CC1=C(C)Cc2c(c(O)n(-c3cccc(Br)c3)c2O)C1,5.0,3.93
367,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,1.2,3.42
368,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,5.0,3.42
369,CC1=CC(C(F)(F)F)(C(F)(F)F)C(C#N)C(=N)N1c1ccc(C(N)=O)cc1,5.0,4.41
370,CC1=CC(C)C(CO)(CO)C(C)C1,5.0,2.93
371,CC1=NN(C(=O)c2ccccc2Cl)[C@](O)(c2ccc(Cl)cc2)C1,5.0,3.73
372,CC1CCC2(CC1)N=C(c1ccccc1)C(=O)N2CC(=O)Nc1ccc2c(c1)OCCO2,6.5,5.07
373,CC1CCCC(C)N1C(=O)CSc1nnc(-c2ccco2)n1Cc1ccccc1,7.3,4.49
374,CC1CCN(S(=O)(=O)N2CCC(C(=O)N[C@@H](C)c3ccccc3)CC2)CC1,5.0,4.92
375,CC1CN(c2nc3ccccn3c(=O)c2C=C(C#N)C#N)CC(C)O1,10.0,3.24
376,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(c7coc(O)c7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,7.4,1.85
377,CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,2.52,-0.22
378,CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,2.6,-0.22
379,CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,2.63,-0.22
380,CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,2.81,-0.22
381,CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,2.84,-0.22
382,CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,2.87,-0.22
383,CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,3.23,-0.22
384,CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,3.49,-0.22
385,CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,3.7,-0.22
386,CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,5.11,-0.22
387,CC=NC(=O)C(Cc1cn(-c2ccccc2)nc1-c1cccs1)NC(=O)c1ccccc1,5.0,4.64
388,CCC(=NN=c1sc(C)c(O)n1Cc1ccco1)c1ccccc1,6.5,5.07
389,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,5.66,3.95
390,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,6.15,3.95
391,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,6.45,3.95
392,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,6.64,3.95
393,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,6.97,3.95
394,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,7.4,3.95
395,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,7.6,3.95
396,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,7.97,3.95
397,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,8.73,3.95
398,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,12.77,3.95
399,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,5.94,4.37
400,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,6.23,4.37
401,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,6.51,4.37
402,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,7.04,4.37
403,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,7.4,4.37
404,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,7.66,4.37
405,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,8.03,4.37
406,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,8.78,4.37
407,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,9.8,4.37
408,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,12.47,4.37
409,CCC(=O)N1N=C(c2ccc(C3=NN(C(=O)CC)[C@@H](c4cccc(OC)c4OC)C3)cc2)C[C@@H]1c1cccc(OC)c1OC,7.3,6.65
410,CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,6.8,4.37
411,CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,7.32,4.37
412,CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,7.4,4.37
413,CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,7.5,4.37
414,CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,8.0,4.37
415,CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,8.5,4.37
416,CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,9.0,4.37
417,CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,11.0,4.37
418,CCC(=O)n1c(=O)[nH]cc(F)c1=O,4.0,0.19
419,CCC(C(=O)N1CCCN(C(=O)C(CC)c2ccccc2)CC1)c1ccccc1,5.0,4.93
420,CCC(C)(C)C(=O)OC1CC(C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3CC(O)CC(=O)O3)[C@H]21,5.0,4.68
421,CCC(C)C(=O)OC1CC(C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3CC(O)CC(=O)O3)[C@H]21,5.0,4.26
422,CCC(C)C(=O)OC1CCC=C2C=C[C@H](C)[C@H](CCC3C[C@@H](O)CC(=O)O3)C21,5.0,3.95
423,CCC(C)C(=O)OC1C[C@H](O)C=C2C=CC(C)[C@H](CCC3C[C@@H](O)CC(=O)O3)C21,5.0,2.42
424,CCC(C)C(N)C(=O)N1CCCC1C(=O)NC(C(=O)O)C(C)CC,7.0,-1.65
425,CCC(C)C(N)C(=O)N1CCCC1C(=O)NCC(=O)NC(C(=O)O)C(C)CC,7.0,1.69
426,CCC(C)C(N)C(=O)N1CCCC1C(=O)[O-],7.0,-1.79
427,CCC(C)C(N)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)C(C)CC)C(C)C)C(C)C)C(C)C,7.0,-0.89
428,CCC(C)C(N)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)C(C)C)C(C)C)C(C)CC,7.0,-1.41
429,CCC(C)C(N)C(=O)NC(C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)O)C(C)CC,7.0,-0.99
430,CCC(C)C(N)C(=O)NC(C(=O)O)C(C)C,7.0,0.16
431,CCC(C)C(N)C(=O)NC(C(=O)O)C(C)CC,7.0,-1.82
432,CCC(C)C(N)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C(=O)O)C(C)CC,7.0,-2.82
433,CCC(C)C(N)C(=O)NC(C)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)O,7.0,-1.47
434,CCC(C)C(N)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)O,2.0,-0.04
435,CCC(C)C(N)C(=O)NC(CC(N)=O)C(=O)O,7.0,-1.41
436,CCC(C)C(N)C(=O)NC(CCSC)C(=O)NC(Cc1ccccc1)C(=O)O,7.0,1.28
437,CCC(C)C(N)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(C(=O)O)C(C)C,10.0,-0.24
438,CCC(C)C(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(C(=O)NC(C(=O)O)C(C)C)C(C)CC,7.0,-1.09
439,CCC(C)C(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCN=C(N)N)C(=O)O,13.0,-0.05
440,CCC(C)C(NC(=O)C(C)N)C(=O)O,7.0,-2.6
441,CCC(C)C(NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(N)CCSC)C(C)CC)C(=O)O,7.0,-0.49
442,CCC(C)C(NC(=O)C(CC(C)C)NC(=O)C([NH3+])C(C)=O)C([O-])O,7.0,-1.66
443,CCC(C)C(NC(=O)C(CC(C)C)NC(=O)C([NH3+])C=O)C([O-])O,7.0,-1.99
444,CCC(C)C(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(C)[NH3+])C(=O)[O-],7.0,-2.04
445,CCC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CCSC)NC(=O)C(N)C(C)C)C(=O)O,7.0,-0.63
446,CCC(C)C(NC(=O)C(N)C(C)O)C(=O)O,7.0,-0.86
447,CCC(C)C(NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,2.0,0.61
448,CCC(C)C(NC(=O)C(N)CC(C)C)C(=O)NC(CCC(=O)O)C(=O)O,2.0,0.07
449,CCC(C)C(NC(=O)C(N)CC(N)=O)C(=O)O,7.0,-1.43
450,CCC(C)C(NC(=O)C(N)CCC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,2.0,0.43
451,CCC(C)C(NC(=O)C(N)CCCCN)C(=O)NC(Cc1ccccc1)C(=O)O,13.0,0.65
452,CCC(C)C(NC(=O)C(N)CCCN=C(N)N)C(=O)NC(Cc1ccccc1)C(=O)O,13.0,-0.04
453,CCC(C)C(NC(=O)C(N)Cc1c[nH]cn1)C(=O)NC(Cc1ccccc1)C(=O)O,10.0,0.44
454,CCC(C)C(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(CC(C)C)C(=O)NCC(=O)O,7.0,-1.49
455,CCC(C)C(NC(=O)C(NC(=O)C([NH3+])CC(C)C)C(C)=O)C([O-])O,7.0,-2.3
456,CCC(C)C(NC(=O)C(NC(=O)C([NH3+])CC(C)C)C(C)CC)C(=O)[O-],7.0,-1.11
457,CCC(C)C(NC(=O)C([NH3+])CC(C)C)C(=O)NC(C(=O)[O-])C(C)O,7.0,-2.14
458,CCC(C)C(NC(=O)C([NH3+])Cc1ccccc1)C(=O)NC(C(=O)[O-])C(C)O,7.0,-1.95
459,CCC(C)C(NC(=O)C1CCCN1)C(=O)O,7.0,-2.56
460,CCC(C)C(NC(=O)CNC(=O)C1CCCN1C(=O)C(N)Cc1ccc(O)cc1)C(=O)O,7.0,-1.65
461,CCC(C)C([NH3+])C(=O)NC(C=O)C(=O)NC(C([O-])O)C(C)CC,7.0,-2.64
462,CCC(C)C([NH3+])C(=O)NC(C=O)C(=O)NC(CC(C)C)C([O-])O,7.0,-2.28
463,CCC(C)C([NH3+])C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(C(=O)[O-])C(C)C,7.0,-1.77
464,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,4.7,1.65
465,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,5.0,1.65
466,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,8.0,1.65
467,CCC(C)CC1(CC)C(=O)NC(=O)NC1=O,4.4,2.1
468,CCC(C)CC1(CC)C(=O)NC(=O)NC1=O,4.7,2.1
469,CCC(C)CC1(CC)C(=O)NC(=O)NC1=O,5.0,2.1
470,CCC(C)CC1(CC)C(=O)NC(=O)NC1=O,5.1,2.1
471,CCC(C)CC1(CC)C(=O)NC(=O)NC1=O,7.4,2.1
472,CCC(C)CC1(CC)C(=O)NC(=O)NC1=O,8.0,2.1
473,CCC(C)c1ccc(O)c([N+](=O)[O-])c1,1.5,3.84
474,CCC(CC)(C(=O)NC(N)=O)C(=O)OC,3.5,0.95
475,CCC(CC)(C(=O)NC(N)=O)C(=O)OC(C)C,3.5,1.99
476,CCC(CC)(C(=O)NC(N)=O)C(=O)OCC(=O)OC,3.5,0.99
477,CCC(CC)NC(=O)c1ccc(Cl)c(S(=O)(=O)N2CCCC2)c1,5.0,3.6
478,CCC(NS(=O)(=O)c1ccc(C)cc1)C(=O)Oc1ccc2c3c(c(=O)oc2c1)CCCC3,2.0,3.08
479,CCC(OC(=O)CNC(=O)c1ccc(N2C(=O)c3ccccc3C2=O)cc1)C(=O)c1ccccc1,2.0,4.15
480,CCC(Sc1nc2ccccc2c2nc(CC(C)C)c(O)n12)C(=O)Nc1ccc2c(c1)OCO2,7.3,4.85
481,CCC(Sc1nc2ccccc2c2nc(Cc3ccccc3)c(O)n12)C(=O)N1CCOCC1,10.0,3.95
482,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,6.4,5.11
483,CCC1(C(C)C)C(=O)NC(=O)NC1=O,5.0,0.97
484,CCC1(C(C)C)C(=O)NC(=O)NC1=O,7.9,0.97
485,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,4.7,1.77
486,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,4.8514,1.77
487,CCC1(CC)C(=O)NC(=O)N(C)C1=O,4.7,1.15
488,CCC1(CC)C(=O)NC(=O)N(C)C1=O,8.3,1.15
489,CCC1(CC)C(=O)NC(=O)NC1=O,4.9,0.65
490,CCC1(CC)C(=O)NC(=O)NC1=O,6.04,0.65
491,CCC1(CC)C(=O)NC(=O)NC1=O,6.24,0.65
492,CCC1(CC)C(=O)NC(=O)NC1=O,6.42,0.65
493,CCC1(CC)C(=O)NC(=O)NC1=O,6.66,0.65
494,CCC1(CC)C(=O)NC(=O)NC1=O,6.78,0.65
495,CCC1(CC)C(=O)NC(=O)NC1=O,6.82,0.65
496,CCC1(CC)C(=O)NC(=O)NC1=O,6.91,0.65
497,CCC1(CC)C(=O)NC(=O)NC1=O,7.02,0.65
498,CCC1(CC)C(=O)NC(=O)NC1=O,7.08,0.65
499,CCC1(CC)C(=O)NC(=O)NC1=O,7.43,0.65
500,CCC1(CC)C(=O)NC(=O)NC1=O,7.9,0.65
501,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,4.9,2.07
502,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,5.0,2.07
503,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,7.9,2.07
504,CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O,5.0,1.84
505,CCC1(c2ccccc2)C(=O)NC(=O)N1S(=O)(=O)c1ccccc1,7.0,-2.44
506,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,4.4,1.47
507,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,5.0,1.47
508,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,5.89,1.47
509,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,6.12,1.47
510,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,6.45,1.47
511,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,6.64,1.47
512,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,6.68,1.47
513,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,6.91,1.47
514,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,7.0,1.47
515,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,7.1,1.47
516,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,7.11,1.47
517,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,7.15,1.47
518,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,7.16,1.47
519,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,7.28,1.47
520,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,7.3,1.47
521,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,7.36,1.47
522,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,7.4,1.47
523,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,8.0,1.47
524,CCC1(c2ccccc2)NC(=O)NC1=O,7.0,1.34
525,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,7.0,2.54
526,CCCC(=NOCC)C1C(=O)CC(C(C)CSCC)CC1=O,7.0,1.65
